Model: word2vec_100_2_0_10.model, Average Distance: 0.5307, Params: {'embedding_size': 100, 'window_size': 2, 'skip_gram': 0, 'epochs': 10}
Model: word2vec_100_2_0_15.model, Average Distance: 0.5297, Params: {'embedding_size': 100, 'window_size': 2, 'skip_gram': 0, 'epochs': 15}
Model: word2vec_100_2_0_30.model, Average Distance: 0.5358, Params: {'embedding_size': 100, 'window_size': 2, 'skip_gram': 0, 'epochs': 30}
Model: word2vec_100_2_0_40.model, Average Distance: 0.5349, Params: {'embedding_size': 100, 'window_size': 2, 'skip_gram': 0, 'epochs': 40}
Model: word2vec_100_2_1_5.model, Average Distance: 0.4271, Params: {'embedding_size': 100, 'window_size': 2, 'skip_gram': 1, 'epochs': 5}
Model: word2vec_100_2_1_10.model, Average Distance: 0.4626, Params: {'embedding_size': 100, 'window_size': 2, 'skip_gram': 1, 'epochs': 10}
Model: word2vec_100_2_1_15.model, Average Distance: 0.4835, Params: {'embedding_size': 100, 'window_size': 2, 'skip_gram': 1, 'epochs': 15}
Model: word2vec_100_2_1_30.model, Average Distance: 0.5124, Params: {'embedding_size': 100, 'window_size': 2, 'skip_gram': 1, 'epochs': 30}
Model: word2vec_100_2_1_40.model, Average Distance: 0.5223, Params: {'embedding_size': 100, 'window_size': 2, 'skip_gram': 1, 'epochs': 40}
Model: word2vec_100_3_0_5.model, Average Distance: 0.5258, Params: {'embedding_size': 100, 'window_size': 3, 'skip_gram': 0, 'epochs': 5}
Model: word2vec_100_3_0_10.model, Average Distance: 0.5240, Params: {'embedding_size': 100, 'window_size': 3, 'skip_gram': 0, 'epochs': 10}
Model: word2vec_100_3_0_15.model, Average Distance: 0.5239, Params: {'embedding_size': 100, 'window_size': 3, 'skip_gram': 0, 'epochs': 15}
Model: word2vec_100_3_0_30.model, Average Distance: 0.5251, Params: {'embedding_size': 100, 'window_size': 3, 'skip_gram': 0, 'epochs': 30}
Model: word2vec_100_3_0_40.model, Average Distance: 0.5249, Params: {'embedding_size': 100, 'window_size': 3, 'skip_gram': 0, 'epochs': 40}
Model: word2vec_100_3_1_5.model, Average Distance: 0.4218, Params: {'embedding_size': 100, 'window_size': 3, 'skip_gram': 1, 'epochs': 5}
Model: word2vec_100_3_1_10.model, Average Distance: 0.4563, Params: {'embedding_size': 100, 'window_size': 3, 'skip_gram': 1, 'epochs': 10}
Model: word2vec_100_3_1_15.model, Average Distance: 0.4748, Params: {'embedding_size': 100, 'window_size': 3, 'skip_gram': 1, 'epochs': 15}
Model: word2vec_100_3_1_30.model, Average Distance: 0.5081, Params: {'embedding_size': 100, 'window_size': 3, 'skip_gram': 1, 'epochs': 30}
Model: word2vec_100_3_1_40.model, Average Distance: 0.5123, Params: {'embedding_size': 100, 'window_size': 3, 'skip_gram': 1, 'epochs': 40}
Model: word2vec_100_4_0_5.model, Average Distance: 0.5327, Params: {'embedding_size': 100, 'window_size': 4, 'skip_gram': 0, 'epochs': 5}
Model: word2vec_100_4_0_10.model, Average Distance: 0.5239, Params: {'embedding_size': 100, 'window_size': 4, 'skip_gram': 0, 'epochs': 10}
Model: word2vec_100_4_0_15.model, Average Distance: 0.5232, Params: {'embedding_size': 100, 'window_size': 4, 'skip_gram': 0, 'epochs': 15}
Model: word2vec_100_4_0_30.model, Average Distance: 0.5231, Params: {'embedding_size': 100, 'window_size': 4, 'skip_gram': 0, 'epochs': 30}
Model: word2vec_100_4_0_40.model, Average Distance: 0.5235, Params: {'embedding_size': 100, 'window_size': 4, 'skip_gram': 0, 'epochs': 40}
Model: word2vec_100_4_1_5.model, Average Distance: 0.4191, Params: {'embedding_size': 100, 'window_size': 4, 'skip_gram': 1, 'epochs': 5}
Model: word2vec_100_4_1_10.model, Average Distance: 0.4576, Params: {'embedding_size': 100, 'window_size': 4, 'skip_gram': 1, 'epochs': 10}
Model: word2vec_100_4_1_15.model, Average Distance: 0.4745, Params: {'embedding_size': 100, 'window_size': 4, 'skip_gram': 1, 'epochs': 15}
Model: word2vec_100_4_1_30.model, Average Distance: 0.5014, Params: {'embedding_size': 100, 'window_size': 4, 'skip_gram': 1, 'epochs': 30}
Model: word2vec_100_4_1_40.model, Average Distance: 0.5087, Params: {'embedding_size': 100, 'window_size': 4, 'skip_gram': 1, 'epochs': 40}
Model: word2vec_100_5_0_5.model, Average Distance: 0.5359, Params: {'embedding_size': 100, 'window_size': 5, 'skip_gram': 0, 'epochs': 5}
Model: word2vec_100_5_0_10.model, Average Distance: 0.5296, Params: {'embedding_size': 100, 'window_size': 5, 'skip_gram': 0, 'epochs': 10}
Model: word2vec_100_5_0_15.model, Average Distance: 0.5243, Params: {'embedding_size': 100, 'window_size': 5, 'skip_gram': 0, 'epochs': 15}
Model: word2vec_100_5_0_30.model, Average Distance: 0.5217, Params: {'embedding_size': 100, 'window_size': 5, 'skip_gram': 0, 'epochs': 30}
Model: word2vec_100_5_0_40.model, Average Distance: 0.5247, Params: {'embedding_size': 100, 'window_size': 5, 'skip_gram': 0, 'epochs': 40}
Model: word2vec_100_5_1_5.model, Average Distance: 0.4172, Params: {'embedding_size': 100, 'window_size': 5, 'skip_gram': 1, 'epochs': 5}
Model: word2vec_100_5_1_10.model, Average Distance: 0.4556, Params: {'embedding_size': 100, 'window_size': 5, 'skip_gram': 1, 'epochs': 10}
Model: word2vec_100_5_1_15.model, Average Distance: 0.4717, Params: {'embedding_size': 100, 'window_size': 5, 'skip_gram': 1, 'epochs': 15}
Model: word2vec_100_5_1_30.model, Average Distance: 0.4993, Params: {'embedding_size': 100, 'window_size': 5, 'skip_gram': 1, 'epochs': 30}
Model: word2vec_100_5_1_40.model, Average Distance: 0.5069, Params: {'embedding_size': 100, 'window_size': 5, 'skip_gram': 1, 'epochs': 40}
Model: word2vec_100_10_0_5.model, Average Distance: 0.5444, Params: {'embedding_size': 100, 'window_size': 10, 'skip_gram': 0, 'epochs': 5}
Model: word2vec_100_10_0_10.model, Average Distance: 0.5388, Params: {'embedding_size': 100, 'window_size': 10, 'skip_gram': 0, 'epochs': 10}
